,E(RB3LYP),Dipole Moment,Polarizability (a),Zero-point Energy Correction,"C=O stretch
Frequency","C=O stretch
Raman Activity","C=O stretch
Depolar-P","C2-H stretch
Frequency","C2-H stretch
Depolar-P",O NBO Charge,C2-O length,L,B1,B5,LUMO(chk),HOMO(chk),X=O(ONBO),X=O(CNBO),"C Length(X=O,CHO)",A_para,B_para
M1,-384.89028,2.976386,82.320667,0.138206,1792.56,67.2699,0.3176,2895.1,0.2969,-0.536,1.218,6.75,1.76,4.33,0.01238,-0.24837,0,0,0,0.74,0.31
M2,-384.891819,3.39373,82.941333,0.137724,1799.19,82.1492,0.3278,2905.37,0.306,-0.531,1.717,6.75,1.76,4.4,0.01381,-0.24819,0,0,0,0.78,0.39
M3,-384.892348,3.78042,84.218,0.137661,1797.59,103.3745,0.3431,2903.04,0.3077,-0.533,1.217,7.7,1.81,3.16,0.01495,-0.25054,0,0,0,0.79,0.36
M4,-460.095229,4.813919,87.394333,0.143198,1782.58,82.3785,0.2987,2995.61,0.2999,-0.541,1.22,6.76,1.75,5.37,0.02047,-0.2476,0,0,0,0.98,0.49
M5,-460.097202,2.178176,87.727333,0.14304,1796.18,87.0887,0.3267,2913.73,0.3037,-0.533,1.217,6.75,1.75,5.35,0.01238,-0.25296,0,0,0,0.73,0.42
M6,-460.098685,4.988572,90.681,0.143103,1792.93,139.4349,0.3464,2896.49,0.3137,-0.54,1.218,8.85,1.78,3.18,0.0169,-0.2513,0,0,0,0.84,0.29
M7,-2916.675203,3.248754,88.329333,0.100233,1791.24,61.3724,0.2859,3000.48,0.248,-0.525,1.217,6.78,1.78,4.86,-0.00043,-0.26416,0,0,0,0.73,0.53
M8,-2916.676864,1.869718,89.644,0.100118,1804.15,84.9797,0.3394,2918.78,0.3033,-0.521,1.215,6.86,1.77,4.83,-0.00168,-0.26249,0,0,0,0.76,0.62
M9,-2916.677538,2.065982,91.846667,0.10011,1800.83,146.4,0.3339,2913.59,0.2997,-0.525,1.216,8.51,1.95,3.16,-0.00253,-0.26684,0,0,0,0.89,0.56
M10,-424.20343,2.994698,94.245667,0.166295,1778.72,64.2892,0.2735,2962.69,0.3055,-0.54,1.221,6.81,1.88,5.6,-0.06031,-0.24371,0,0,0,0.98,0.28
M11,-479.545271,6.320322,111.650667,0.183685,1784.17,214.4432,0.3475,2886.74,0.3263,-0.552,1.22,8.89,1.89,3.17,0.02576,-0.23705,0,0,0,0.7,0.08
M12,-349.196145,2.728833,72.717333,0.18013,1827.81,12.6543,0.4832,2877.41,0.3475,-0.529,1.212,6.68,1.93,3.52,0.01421,-0.26174,0,0,0,0.68,0.24
M13,-682.609409,1.508276,82.503,0.114962,1804.66,82.2709,0.3432,2920.27,0.2973,-0.521,1.215,7.25,1.79,4.92,0.00014,-0.27004,0,0,0,0.81,0.63
M14,-573.450618,3.73583,102.529333,0.151851,1798.04,127.3239,0.342,2908.9,0.3074,-0.531,1.217,10,1.78,3.47,-0.00406,-0.25795,-0.571,0.833,6.55162,0.76,0.41
M15,-361.609323,3.665587,65.770333,0.098317,1807.67,69.2005,0.3374,2966.96,0.3031,-0.524,1.215,6.69,1.7,3.24,-0.00411,-0.26705,0,0,0,0.71,0.17
M16,-682.608975,1.666873,83.178667,0.11493,1804.54,93.6066,0.3326,2918.95,0.2994,-0.518,1.215,8.05,1.9,3.16,-0.00074,-0.27076,0,0,0,0.79,0.55
M17,-546.968781,2.493996,132.582667,0.342308,1832.83,7.2773,0.5603,2890.51,0.3585,-0.53,1.212,14.26,1.87,8.83,0.01097,-0.26308,0,0,0,0.79,0.39
M18,-1264.748798,4.137538,93.296667,0.090566,1802.42,54.6829,0.25,3015.69,0.2694,-0.501,1.213,6.81,1.8,4.57,-0.0143,-0.26936,0,0,0,0.9,0.63
